Combination,Province,Technology,Parameter,Low,High,Swing,Base_LCOE
ON_Solar,ON,Solar,FixedOM,64.52446327110454,73.37149523457487,8.847031963470329,68.9479792528397
ON_Solar,ON,Solar,DiscountRate,63.24925232401582,74.97124668399955,11.721994359983732,68.9479792528397
ON_Solar,ON,Solar,ProjectLife,77.53404670490426,63.36616418460126,14.167882520302996,68.9479792528397
ON_Solar,ON,Solar,CapEx,60.817540355781325,77.07841814989807,16.260877794116745,68.9479792528397
ON_Solar,ON,Solar,CapacityFactor,87.09218431937647,57.06039662303977,30.0317876963367,68.9479792528397
ON_Wind,ON,Wind,DiscountRate,44.38489448911591,51.79562668643198,7.410732197316072,47.99261599450047
ON_Wind,ON,Wind,FixedOM,44.11734562680039,51.867886362200544,7.7505407354001505,47.99261599450047
ON_Wind,ON,Wind,ProjectLife,53.236335195691844,44.6052934450247,8.631041750667144,47.99261599450047
ON_Wind,ON,Wind,CapEx,42.73135877917543,53.2538732098255,10.52251443065007,47.99261599450047
ON_Wind,ON,Wind,CapacityFactor,55.26422447851569,42.41207925095391,12.852145227561785,47.99261599450047
ON_NaturalGas,ON,Natural Gas,DiscountRate,174.5403158508284,195.91524114716444,21.374925296336045,184.95215598146865
ON_NaturalGas,ON,Natural Gas,ProjectLife,199.85156523085723,175.35582675269308,24.495738478164157,184.95215598146865
ON_NaturalGas,ON,Natural Gas,FixedOM,171.82430210019012,198.0800098627472,26.25570776255708,184.95215598146865
ON_NaturalGas,ON,Natural Gas,FuelCost,170.55215598146864,199.35215598146866,28.80000000000001,184.95215598146865
ON_NaturalGas,ON,Natural Gas,CapEx,169.62325952488766,200.28105243804967,30.657792913162012,184.95215598146865
ON_NaturalGas,ON,Natural Gas,CapacityFactor,289.20369596823207,142.02505128103672,147.17864468719534,184.95215598146865
NS_Solar,NS,Solar,FixedOM,110.61336560760779,125.77970611641406,15.166340508806272,118.19653586201092
NS_Solar,NS,Solar,DiscountRate,108.42728969831283,128.52213717257067,20.094847474257833,118.19653586201092
NS_Solar,NS,Solar,ProjectLife,132.9155086369787,108.62771003074502,24.28779860623368,118.19653586201092
NS_Solar,NS,Solar,CapEx,104.25864060991084,132.13443111411098,27.87579050420014,118.19653586201092
NS_Solar,NS,Solar,CapacityFactor,183.86127800757254,87.09218431937647,96.76909368819607,118.19653586201092
NS_Wind,NS,Wind,DiscountRate,44.38489448911591,51.79562668643198,7.410732197316072,47.99261599450047
NS_Wind,NS,Wind,FixedOM,44.11734562680039,51.867886362200544,7.7505407354001505,47.99261599450047
NS_Wind,NS,Wind,ProjectLife,53.236335195691844,44.6052934450247,8.631041750667144,47.99261599450047
NS_Wind,NS,Wind,CapEx,42.73135877917543,53.2538732098255,10.52251443065007,47.99261599450047
NS_Wind,NS,Wind,CapacityFactor,55.26422447851569,42.41207925095391,12.852145227561785,47.99261599450047
NS_NaturalGas,NS,Natural Gas,DiscountRate,75.14408422688757,80.84406430591052,5.69998007902295,77.92057492839164
NS_NaturalGas,NS,Natural Gas,ProjectLife,81.89375072822861,75.36155380071816,6.532196927510455,77.92057492839164
NS_NaturalGas,NS,Natural Gas,FixedOM,74.41981389338403,81.42133596339926,7.001522070015227,77.92057492839164
NS_NaturalGas,NS,Natural Gas,CapEx,73.8328692066367,82.00828065014659,8.175411443509887,77.92057492839164
NS_NaturalGas,NS,Natural Gas,CapacityFactor,82.7856467944406,74.02851743555249,8.757129358888108,77.92057492839164
NS_NaturalGas,NS,Natural Gas,FuelCost,63.52057492839164,92.32057492839164,28.799999999999997,77.92057492839164
AB_Solar,AB,Solar,FixedOM,73.74224373840521,83.85313741094272,10.110893672537514,78.79769057467396
AB_Solar,AB,Solar,DiscountRate,72.28485979887523,85.68142478171379,13.396564982838555,78.79769057467396
AB_Solar,AB,Solar,ProjectLife,88.61033909131916,72.41847335383002,16.191865737489138,78.79769057467396
AB_Solar,AB,Solar,CapEx,69.50576040660724,88.08962074274066,18.583860336133426,78.79769057467396
AB_Solar,AB,Solar,CapacityFactor,103.4219688792596,63.64428854108281,39.777680338176786,78.79769057467396
AB_Wind,AB,Wind,DiscountRate,45.584486232065,53.195508488767985,7.611022256702988,49.28971372408157
AB_Wind,AB,Wind,FixedOM,45.309706319416634,53.26972112874651,7.960014809329877,49.28971372408157
AB_Wind,AB,Wind,ProjectLife,54.675155065845686,45.81084191651186,8.864313149333825,49.28971372408157
AB_Wind,AB,Wind,CapEx,43.8862603678018,54.693167080361334,10.806906712559531,49.28971372408157
AB_Wind,AB,Wind,CapacityFactor,56.9912314934693,43.4218906616909,13.569340831778398,49.28971372408157
AB_NaturalGas,AB,Natural Gas,DiscountRate,68.57243254927165,73.2360526139268,4.663620064655149,70.84410675959316
AB_NaturalGas,AB,Natural Gas,ProjectLife,74.09488695945977,68.75036220058759,5.344524758872183,70.84410675959316
AB_NaturalGas,AB,Natural Gas,FixedOM,67.97984773095058,73.70836578823577,5.728518057285186,70.84410675959316
AB_NaturalGas,AB,Natural Gas,CapacityFactor,74.02851743555249,68.19043119629373,5.838086239258757,70.84410675959316
AB_NaturalGas,AB,Natural Gas,CapEx,67.4996202599755,74.18859325921085,6.688972999235347,70.84410675959316
AB_NaturalGas,AB,Natural Gas,FuelCost,56.44410675959317,85.24410675959317,28.799999999999997,70.84410675959316
